51300003451,gad,48,36
51300004865,fac,124,219
51300071400,dgf,235,287
51300078766,cab,131,207
51300088024,ddd,154,6
51300139555,ebe,45,184
51300182629,eda,22,185
51300209031,cfe,30,11
51300223150,fcf,202,42
51300227310,baa,67,252
51300228835,abd,188,136
51300245656,gdf,54,164
51300277176,afc,254,246
51300304635,ccb,39,189
51300316017,dda,147,169
51300327341,gag,137,282
51300376223,bde,250,124
51300381171,cbe,13,86
51300409785,fde,145,10
51300455248,fbf,79,281
51300469694,geg,26,271
51300481095,dcc,80,262
51300528851,fdf,152,298
51300538831,adf,93,176
51300548893,afa,196,38
51300590736,feb,215,240
51300684950,bga,85,32
51300705905,fbg,189,204
51300727839,ede,62,108
51300732737,bdc,107,121
51300732781,dce,230,273
51300762922,gbe,208,161
51300789586,eed,205,245
51300831777,gaf,270,187
51300832377,ade,4,90
51300869405,gge,248,45
51300877458,bfg,63,77
51300982110,egf,236,136
51300997897,dfa,207,223
51301001511,eac,236,25
51301120837,feb,94,208
51301127373,beb,8,100
51301147087,efe,159,67
51301211771,bee,77,104
51301265767,dgg,140,233
51301268918,fdg,132,160
51301275638,aac,179,295
51301322324,bbe,180,140
51301329240,bcg,167,43
51301339823,efc,216,13
51301370107,eda,62,177
51301383474,dgd,228,191
51301412843,cee,233,170
51301447746,abe,174,279
51301449500,cae,280,261
51301494275,dde,35,45
51301494309,ece,102,102
51301523034,fbd,83,111
51301586358,acb,84,67
51301600804,dce,166,316
51301640657,ede,62,105
51301646470,eef,70,272
51301652413,cec,81,118
51301652486,bfd,257,206
51301655577,ffd,55,202
51301702393,aab,234,107
51301709676,adf,148,181
51301724143,ebb,174,137
51301736758,ded,238,211
51301749019,ddf,90,171
51301770845,egd,260,79
51301783538,dad,94,265
51301784771,bcg,170,35
51301796138,gdb,224,164
51301796146,age,297,93
51301805482,bca,171,73
51301814295,cac,77,134
51301858690,gge,44,47
51301860468,bbg,203,297
51301876663,aac,240,247
51301903271,eed,21,264
51301906437,ebb,108,119
51301988060,faf,289,285
51301993514,gcd,14,274
51302005751,bef,108,158
51302046433,cbc,9,271
51302051050,fga,160,39
51302058580,ecb,189,16
51302066756,cea,17,232
51302072780,ced,125,33
51302104076,aaf,298,197
51302125394,abf,58,93
51302126161,gcc,2,75
51302187564,gfe,160,246
51302192355,bed,259,20
51302210354,bad,206,23
51302215806,cde,159,200
51302223193,aaa,215,15
51302241463,ecc,288,188
51302293781,cda,131,261
51302295171,afe,174,146
51302401130,fdb,108,221
51302408990,gcb,238,27
51302415187,fee,222,87
51302443814,bbd,94,209
51302446108,baa,298,272
51302473521,bbd,66,244
51302475265,abg,100,216
51302502670,gba,88,179
51302540468,dad,110,275
51302555013,dce,120,300
51302641597,ebb,247,102
51302641801,cgg,119,247
51302647150,eca,71,46
51302705934,cce,262,104
51302723094,gbg,212,243
51302736356,fae,142,260
51302763349,dea,209,261
51302772016,bfd,163,245
51302808427,geg,51,224
51302814372,gaf,291,203
51302841612,ade,111,85
51302852962,ebg,73,72
51302903569,fbc,15,104
51302935486,fad,155,15
51302977012,afg,197,248
